	Unicode-Hindi	Hindi	Unicode-Punjabi	Punjabi	Unicode-Gujarati	Gujarati	Unicode-Marathi	Marathi	Unicode-Kannada	Kannada	Unicode-Telugu	Telugu	Unicode-Tamil	Tamil	Unicode-Malayalam	Malayalam	Unicode-Oriya	Oriya	Unicode-Assamese	Assamese	Unicode-Bengali	Bengali
Yt																			0x9CE	ৎ		ৎ
															0D48							
							0x093D	ऽ							0D7A	ണ്‍						
							0x0952	॒							0D7B	ന്‍						
							0x0950	ॐ							0D7C	ര്‍						
							0x0960	ॠ							0D7D	ല്‍						
							0x0970	॰														
															0D7E	ള്‍						
								क्ष							0D7F	ക്‍						
								त्र														
								ज्ञ														
								श्र														
